	Name	Country	Position	Team	Goals	Assists	G+A	Non-PK G	PK Made	PK Attempts	Yellow Cards	Red Cards
1	Alsu Abdullina	ru RUS	DF,FW	Chelsea	0	1	1	0	0	0	0	0
2	Princess Ademiluyi		MF,FW	West Ham	0	0	0	0	0	0	0	0
3	Michelle Agyemang	eng ENG	FW	Arsenal	0	0	0	0	0	0	0	0
4	Asmita Ale	eng ENG	DF,MF	Tottenham	0	1	1	0	0	0	0	0
5	Laia Aleixandri	es ESP	DF,MF	Manchester City	0	0	0	0	0	0	1	0
6	Tinaya Alexander	eng ENG	MF	Reading	0	0	0	0	0	0	0	0
7	Remi Allen	eng ENG	MF	Aston Villa	0	0	0	0	0	0	1	0
8	Filippa Angeldahl	se SWE	MF	Manchester City	2	1	3	2	0	0	1	0
9	Mackenzie Arnold	au AUS	GK	West Ham	0	0	0	0	0	0	1	0
10	Viviane Asseyi	fr FRA	FW,MF	West Ham	6	3	9	6	0	0	2	0
11	Izzy Atkinson	ie IRL	FW,MF	West Ham	1	1	2	1	0	0	0	0
12	Rosella Ayane	ma MAR	MF,FW	Tottenham	1	4	5	1	0	0	1	0
13	Ava Baker	eng ENG	FW	Leicester City	1	0	1	1	0	0	0	0
14	Libby Bance	eng ENG	MF	Brighton	0	0	0	0	0	0	0	0
15	Molly Bartrip	eng ENG	DF	Tottenham	1	3	4	1	0	0	3	0
16	Ona Batlle	es ESP	DF	Manchester Utd	1	9	10	1	0	0	1	0
17	Jennifer Beattie	sct SCO	DF	Arsenal	0	0	0	0	0	0	0	0
18	Agnes Beever-Jones	eng ENG	FW	Everton	2	0	2	2	0	0	3	1
19	Hanna Bennison	se SWE	MF,FW	Everton	3	0	3	3	0	0	0	0
20	Ann-Katrin Berger	de GER	GK	Chelsea	0	0	0	0	0	0	0	0
21	Guro Bergsvand	no NOR	DF	Brighton	0	1	1	0	0	0	0	0
22	Nathalie Björn	se SWE	DF,MF	Everton	0	1	1	0	0	0	4	0
23	Stina Blackstenius	se SWE	FW	Arsenal	8	0	8	8	0	0	0	0
24	Julie Blakstad	no NOR	FW	Manchester City	2	1	3	2	0	0	0	0
25	Laura Blindkilde	eng ENG	MF,FW	Aston Villa	0	0	0	0	0	0	2	0
26	Hannah Blundell	eng ENG	DF	Manchester Utd	1	2	3	1	0	0	3	0
27	Missy Bo Kearns	eng ENG	MF	Liverpool	4	0	4	4	0	0	2	0
28	Gemma Bonner	eng ENG	DF	Liverpool	0	1	1	0	0	0	1	0
29	CJ Bott	nz NZL	DF,MF	Leicester City	0	0	0	0	0	0	4	0
30	Chantelle Boye-Hlorkah	eng ENG	FW,MF	Aston Villa	0	0	0	0	0	0	0	0
31	Ellie Brazil	eng ENG	FW	Tottenham	0	0	0	0	0	0	0	0
32	Millie Bright	eng ENG	DF	Chelsea	1	1	2	1	0	0	0	0
33	Courtney Brosnan	ie IRL	GK	Everton	0	0	0	0	0	0	0	0
34	Georgia Brougham	eng ENG	DF	Leicester City	0	0	0	0	0	0	0	0
35	Dagný Brynjarsdóttir	is ISL	MF	West Ham	6	1	7	5	1	2	1	0
36	Faye Bryson	eng ENG	DF,MF	Reading	0	1	1	0	0	0	5	0
37	Kadeisha Buchanan	ca CAN	DF	Chelsea	0	0	0	0	0	0	2	0
38	Jackie Burns	nir NIR	GK	Reading	0	0	0	0	0	0	0	1
39	Vilde Bøe Risa	no NOR	MF	Manchester Utd	0	1	1	0	0	0	1	0
40	Hannah Cain	wls WAL	FW	Leicester City	2	2	4	1	1	1	1	0
41	Diane Caldwell	ie IRL	DF	Reading	0	0	0	0	0	0	2	0
42	Megan Campbell	ie IRL	DF,MF	Liverpool	0	1	1	0	0	0	2	0
43	Jelena Čanković	rs SRB	MF	Chelsea	4	2	6	4	0	0	0	0
44	Danielle Carter	eng ENG	FW,MF	Brighton	5	1	6	2	3	3	2	0
45	Jess Carter	eng ENG	DF	Chelsea	2	1	3	2	0	0	0	0
46	Estelle Cascarino	fr FRA	MF	Manchester Utd	0	0	0	0	0	0	0	0
47	Kerstin Casparij	nl NED	DF	Manchester City	0	3	3	0	0	0	0	0
48	Deyna Castellanos	ve VEN	MF	Manchester City	1	1	2	1	0	0	1	0
49	Steph Catley	au AUS	DF	Arsenal	1	2	3	1	0	0	0	0
50	Niamh Charles	eng ENG	DF,MF	Chelsea	4	3	7	4	0	0	0	0
51	Izzy Christiansen	eng ENG	MF,FW	Everton	0	1	1	0	0	0	0	0
52	Hawa Cissoko	fr FRA	DF	West Ham	1	0	1	1	0	0	3	1
53	Abby Clarke		FW	Everton	0	0	0	0	0	0	1	0
54	Aimee Claypole	eng ENG	MF	Chelsea	0	0	0	0	0	0	0	0
55	Megan Connolly	ie IRL	MF,DF	Brighton	0	1	1	0	0	0	2	0
56	Shannon Cooke	eng ENG	DF	West Ham	0	0	0	0	0	0	0	0
57	Laura Coombs	eng ENG	MF	Manchester City	5	4	9	5	0	0	0	0
58	Deanna Cooper	eng ENG	DF	Reading	1	0	1	1	0	0	5	0
59	Rachel Corsie	sct SCO	MF,DF	Aston Villa	0	1	1	0	0	0	1	0
60	Eartha Cumings	sct SCO	GK	Liverpool	0	0	0	0	0	0	0	0
61	Erin Cuthbert	sct SCO	MF	Chelsea	5	3	8	5	0	0	1	0
62	Sabrina D'Angelo	ca CAN	GK	Arsenal	0	0	0	0	0	0	0	0
63	Jemima Dahou	eng ENG	MF	Manchester City	0	0	0	0	0	0	0	0
64	Kenza Dali	fr FRA	MF	Aston Villa	5	8	13	5	0	0	0	0
65	Rachel Daly	eng ENG	FW	Aston Villa	22	6	28	19	3	3	2	0
66	Yana Daniels	be BEL	FW,MF	Liverpool	0	0	0	0	0	0	0	0
67	Anouk Denton	eng ENG	DF,FW	West Ham	0	0	0	0	0	0	0	0
68	Natasha Dowie	eng ENG	FW	Liverpool	2	1	3	2	0	0	0	0
69	Natasha Dowie	eng ENG	FW,MF	Reading	1	0	1	1	0	0	0	0
70	Mary Earps	eng ENG	GK	Manchester Utd	0	0	0	0	0	0	0	0
71	Georgia Eaton-Collins	eng ENG	DF,MF	Leicester City	0	0	0	0	0	0	0	0
72	Amalie Eikeland	no NOR	MF,DF	Reading	1	1	2	1	0	0	2	0
73	Bethany England	eng ENG	FW	Chelsea	2	0	2	2	0	0	0	0
74	Bethany England	eng ENG	FW	Tottenham	12	1	13	11	1	1	0	0
75	Magdalena Eriksson	se SWE	DF	Chelsea	1	0	1	1	0	0	0	0
76	Gemma Evans	wls WAL	DF	Reading	0	1	1	0	0	0	1	0
77	Lisa Evans	sct SCO	FW,MF	West Ham	3	2	5	3	0	0	1	0
78	Niamh Fahey	ie IRL	DF	Liverpool	0	0	0	0	0	0	1	0
79	Chelsea Ferguson	eng ENG	MF	Brighton	0	0	0	0	0	0	0	0
80	Melisa Filis	eng ENG	MF,FW	West Ham	0	2	2	0	0	0	2	0
81	Megan Finnigan	eng ENG	DF	Everton	2	0	2	2	0	0	0	0
82	Grace Fisk	eng ENG	DF	West Ham	0	0	0	0	0	0	2	0
83	Gilly Flaherty	eng ENG	DF	Liverpool	0	0	0	0	0	0	2	0
84	Keira Flannery	eng ENG	MF,FW	West Ham	0	0	0	0	0	0	0	0
85	Jessie Fleming	ca CAN	MF,FW	Chelsea	3	1	4	3	0	0	1	0
86	Natasha Flint	eng ENG	FW	Leicester City	1	0	1	1	0	0	0	0
87	Caitlin Foord	au AUS	FW,MF	Arsenal	6	6	12	6	0	0	3	0
88	Mary Fowler	au AUS	MF,FW	Manchester City	1	1	2	1	0	0	0	0
89	Jorja Fox	eng ENG	DF	Brighton	1	0	1	1	0	0	0	0
90	Rachel Furness	nir NIR	MF	Liverpool	1	0	1	1	0	0	1	0
91	Aurora Galli	it ITA	MF	Everton	0	2	2	0	0	0	0	0
92	Leah Galton	eng ENG	FW,MF	Manchester Utd	10	4	14	10	0	0	0	0
93	Lucía García	es ESP	FW,MF	Manchester Utd	8	1	9	8	0	0	1	0
94	Gabrielle George	eng ENG	DF,MF	Everton	2	2	4	2	0	0	4	0
95	Lee Geum-min	kr KOR	FW,MF	Brighton	3	2	5	3	0	0	2	0
96	Emily Gielnik	au AUS	FW,MF	Aston Villa	1	0	1	1	0	0	0	0
97	Gio	br BRA	FW,MF	Arsenal	0	0	0	0	0	0	2	0
98	Gio	br BRA	FW,MF	Everton	1	0	1	1	0	0	0	0
99	Freya Godfrey	eng ENG	FW,MF	Arsenal	0	0	0	0	0	0	0	0
100	Teyah Goldie	eng ENG	FW	Arsenal	0	0	0	0	0	0	0	0
101	Isobel Goodwin	eng ENG	FW	Aston Villa	0	0	0	0	0	0	0	0
102	Missy Goodwin	eng ENG	FW,MF	Leicester City	1	0	1	1	0	0	0	0
103	Kit Graham	eng ENG	FW,MF	Tottenham	1	1	2	1	0	0	0	0
104	Lucy Graham	sct SCO	DF,MF	Everton	2	1	3	2	0	0	2	0
105	Josephine Green	wls WAL	MF	Leicester City	1	1	2	1	0	0	1	0
106	Kayleigh Green	wls WAL	DF,FW	Brighton	1	2	3	1	0	0	3	0
107	Alex Greenwood	eng ENG	DF	Manchester City	0	3	3	0	0	1	3	0
108	Freya Gregory	eng ENG	FW	Aston Villa	0	0	0	0	0	0	0	0
109	Lenna Gunning-Williams	eng ENG	FW	Tottenham	0	0	0	0	0	0	0	0
110	Hannah Hampton	eng ENG	GK	Aston Villa	0	0	0	0	0	0	1	0
111	Kirsty Hanson	sct SCO	FW,MF	Aston Villa	7	9	16	7	0	0	4	0
112	Pernille Harder	dk DEN	FW,MF	Chelsea	8	3	11	7	1	1	0	0
113	Natasha Harding	wls WAL	MF,FW	Aston Villa	0	0	0	0	0	0	0	0
114	Emma Harries	eng ENG	FW,MF	Reading	2	1	3	2	0	0	1	0
115	Kerys Harrop	eng ENG	DF,MF	Tottenham	0	1	1	0	0	0	2	0
116	Yui Hasegawa	jp JPN	MF	Manchester City	1	1	2	1	0	0	0	0
117	Honoka Hayashi	jp JPN	MF,FW	West Ham	1	0	1	1	0	0	1	0
118	Lauren Hemp	eng ENG	FW	Manchester City	7	6	13	7	0	0	2	0
119	Brooke Hendrix	us USA	DF	Reading	0	0	0	0	0	0	0	0
120	Sophie Hillyerd	eng ENG	GK	West Ham	0	0	0	0	0	0	0	0
121	Taylor Hinds	eng ENG	DF,MF	Liverpool	0	2	2	0	0	0	2	0
122	Ceri Holland	wls WAL	MF	Liverpool	4	0	4	4	0	0	6	0
123	Karen Holmgaard	dk DEN	MF,DF	Everton	1	2	3	1	0	0	1	0
124	Sara Holmgaard	dk DEN	DF	Everton	0	0	0	0	0	0	0	0
125	Steph Houghton	eng ENG	DF	Manchester City	2	1	3	2	0	0	1	0
126	Halle Houssein	eng ENG	MF	West Ham	0	0	0	0	0	0	0	0
127	Sophie Howard	sct SCO	DF	Leicester City	0	0	0	0	0	0	1	0
128	Carla Humphrey	eng ENG	FW,MF	Liverpool	0	0	0	0	0	0	0	0
129	Lina Hurtig	se SWE	FW	Arsenal	0	0	0	0	0	0	0	0
130	Celin Ildhusøy	no NOR	MF,FW	Tottenham	2	1	3	2	0	0	1	0
131	Sophie Ingle	wls WAL	MF	Chelsea	2	3	5	2	0	0	1	0
132	Mana Iwabuchi	jp JPN	MF,FW	Arsenal	0	0	0	0	0	0	0	0
133	Mana Iwabuchi	jp JPN	MF,FW	Tottenham	0	1	1	0	0	0	0	0
134	Angharad James	wls WAL	MF	Tottenham	0	2	2	0	0	0	1	0
135	Lauren James	eng ENG	FW	Chelsea	5	2	7	5	0	1	1	0
136	Rebecca Jane	eng ENG	MF	Reading	0	0	0	0	0	0	0	0
137	Lulu Jarvis	eng ENG	MF	Brighton	0	0	0	0	0	0	0	0
138	Carrie Jones	wls WAL	FW,MF	Leicester City	2	0	2	2	0	0	1	0
139	Nikola Karczewska	pl POL	FW	Tottenham	2	0	2	2	0	0	1	0
140	Khiara Keating	eng ENG	GK	Manchester City	0	0	0	0	0	0	0	0
141	Alice Keitley		FW	Aston Villa	0	0	0	0	0	0	0	0
142	Chloe Kelly	eng ENG	FW	Manchester City	5	9	14	5	0	0	4	0
143	Alanna Kennedy	au AUS	DF	Manchester City	0	0	0	0	0	0	0	0
144	Sam Kerr	au AUS	FW	Chelsea	12	5	17	12	0	0	0	0
145	Leanne Kiernan	ie IRL	FW	Liverpool	0	0	0	0	0	0	0	0
146	Faye Kirby	eng ENG	GK	Liverpool	0	0	0	0	0	0	1	0
147	Fran Kirby	eng ENG	MF,DF	Chelsea	6	1	7	5	1	1	0	0
148	Emma Koivisto	fi FIN	DF,MF	Liverpool	2	4	6	2	0	0	2	0
149	Tinja-Riikka Korpela	fi FIN	GK	Tottenham	0	0	0	0	0	0	0	0
